registro;timestamp;humedad_pct;humedad_raw;estado_suelo;temperatura_c;notas
490;T+37:55:01;100;0;HUMEDO;35.31;
491;T+38:00:01;100;0;HUMEDO;35.44;
492;T+38:05:01;100;0;HUMEDO;35.44;
493;T+38:10:01;100;0;HUMEDO;35.44;
494;T+38:15:01;100;0;HUMEDO;35.38;
495;T+38:20:01;100;0;HUMEDO;35.31;
496;T+38:25:01;100;0;HUMEDO;35.38;
497;T+38:30:01;100;0;HUMEDO;35.31;
498;T+38:35:01;100;0;HUMEDO;35.38;
499;T+38:40:01;100;0;HUMEDO;35.31;
500;T+38:45:01;100;0;HUMEDO;35.13;
501;T+38:50:01;100;0;HUMEDO;35.19;
502;T+38:55:01;100;0;HUMEDO;35.06;
503;T+39:00:01;100;0;HUMEDO;35.19;
504;T+39:05:01;100;0;HUMEDO;35.06;
505;T+39:10:01;100;0;HUMEDO;35.00;
506;T+39:15:01;100;0;HUMEDO;35.19;
507;T+39:20:01;100;0;HUMEDO;35.00;
508;T+39:25:01;100;0;HUMEDO;35.06;
509;T+39:30:01;100;0;HUMEDO;35.06;
510;T+39:35:01;100;0;HUMEDO;35.06;
511;T+39:40:01;100;0;HUMEDO;34.94;
512;T+39:45:01;100;0;HUMEDO;34.94;
513;T+39:50:01;100;0;HUMEDO;34.94;
514;T+39:55:01;100;0;HUMEDO;34.88;
515;T+40:00:01;100;0;HUMEDO;34.94;
516;T+40:05:01;100;0;HUMEDO;34.94;
517;T+40:10:01;100;0;HUMEDO;34.75;
518;T+40:15:01;100;0;HUMEDO;34.88;
519;T+40:20:01;100;0;HUMEDO;34.88;
520;T+40:25:01;100;0;HUMEDO;34.75;
521;T+40:30:01;100;0;HUMEDO;34.81;
522;T+40:35:01;100;0;HUMEDO;34.81;
523;T+40:40:01;100;0;HUMEDO;34.69;
524;T+40:45:01;100;0;HUMEDO;34.56;
525;T+40:50:01;100;0;HUMEDO;34.69;
526;T+40:55:01;100;0;HUMEDO;34.63;
527;T+41:00:01;100;0;HUMEDO;34.56;
528;T+41:05:01;100;0;HUMEDO;34.44;
